season,name,profile,team,total_raids,total_tackle,raid_percent_overall,tackle_percent_overall,matches_played,total_points,success_raids,raid_points,success_tackles,tackle_points,avg_raid_points,avg_tackle_points,dod_raid_points,super_raids,super_tackles,super_10s,high_5s,success_raid_percent,success_tackle_percent
6,Aashish Nagar,"Defender, right corner",up-yoddha,0,4,0,25,3,1,0,0,1,1,0,0,0,0,0,0,0,,
6,Abhishek Singh,Raider,u-mumba,117,19,44.15,22.58,15,53,38,47,6,6,3.13,0.4,18,1,0,2,0,,
7,Abhishek Singh,Raider,u-mumba,234,12,44.15,22.58,16,109,93,108,1,1,6.75,0.06,32,2,0,6,0,,
4,Abolfazl Maghsodloumahali,Raider,patna-pirates,37,1,40.44,36.36,9,25,18,25,0,0,2.78,0,9,2,0,0,0,,
5,Abolfazl Maghsodloumahali,Raider,dabang-delhi-kc,230,14,40.44,36.36,19,97,77,91,5,6,4.79,0.32,26,0,1,0,0,,
6,Abolfazl Maghsodloumahali,Raider,u-mumba,77,7,40.44,36.36,10,25,19,23,2,2,2.3,0.2,5,2,0,0,0,,
7,Abolfazl Maghsodloumahali,Raider,gujarat-fortunegiants,10,0,40.44,36.36,6,5,3,5,0,0,1,0,1,0,0,0,0,,
5,Abozar Mohajermighani,Defender,gujarat-fortunegiants,6,116,5.26,53.15,24,66,0,1,63,65,0.17,2.71,0,0,2,0,2,,
6,Abozar Mohajermighani,Defender,telugu-titans,26,98,5.26,53.15,21,56,0,0,48,56,0,2.67,0,0,8,0,4,,
7,Abozar Mohajermighani,Defender,telugu-titans,6,87,5.26,53.15,18,40,0,1,36,39,0.2,2.17,0,0,3,0,1,,
6,Adarsh T,"Defender, left corner",bengal-warriors,1,23,200,46.87,10,14,1,2,9,12,0,1.2,0,0,3,0,0,,
7,Adarsh T,"Defender, left corner",bengal-warriors,0,9,200,46.87,9,3,0,0,3,3,0,0.33,0,0,0,0,0,,
2,Adinath Sakharam Gavali,"Defender, right and left cover",bengaluru-bulls,0,6,0,16.66,1,1,0,0,1,1,0,1,0,0,0,0,0,,
6,Ajay,Defender,bengaluru-bulls,0,0,0,0,7,4,0,0,4,4,0,0.57,0,0,0,0,0,,
7,Ajay,Defender,bengaluru-bulls,0,0,0,0,9,4,1,2,2,2,0,0.22,0,0,0,0,0,,
4,Ajay Kumar,Raider,jaipur-pink-panthers,107,7,40.26,6.25,15,61,44,61,0,0,4.36,0,36,1,0,2,0,,
5,Ajay Kumar,Raider,bengaluru-bulls,257,4,40.26,6.25,22,89,70,89,0,0,4.05,0,39,2,0,2,0,,
6,Ajay Kumar,Raider,gujarat-fortunegiants,88,5,40.26,6.25,13,33,23,32,1,1,2.67,0,4,1,0,0,0,,
4,Ajay Singh,"Defender, left corner",bengaluru-bulls,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,,
