team_name,matches_played,total_points_scored,total_points_conceded,team_avg_points,team_success_raids,team_raid_points,team_avg_raid_points,team_success_tackles,team_tackle_points,team_avg_tackle_points,team_super_raids,team_super_tackles,team_dod_raid_points,team_allouts_inflicted,team_allouts_conceded,win
patna-pirates,26,1050,921,34.19,487,637,24.5,226,252,9.69,26,27,95,55,29,1
gujarat-fortunegiants,24,775,641,27.45,335,405,16.88,242,254,10.58,11,12,98,36,17,0
puneri-paltan,24,766,683,27.08,304,379,15.79,252,271,11.29,12,21,119,32,23,0
up-yoddha,23,762,763,28.78,358,461,20.04,183,201,8.74,23,19,83,23,32,0
bengal-warriors,24,749,757,27,379,455,18.96,181,193,8.04,11,12,87,27,29,0
haryana-steelers,23,727,726,27.43,327,404,17.57,206,227,9.87,12,21,105,27,23,0
u-mumba,22,707,757,28.22,322,419,19.05,176,202,9.18,10,26,78,21,36,0
telugu-titans,22,696,698,27.59,332,400,18.18,191,207,9.41,10,17,88,25,26,0
bengaluru-bulls,22,689,679,26.95,336,393,17.86,185,200,9.09,5,17,93,28,25,0
tamil-thalaivas,22,681,752,27.77,351,410,18.64,184,201,9.14,5,17,89,19,31,0
jaipur-pink-panthers,22,631,723,23.81,288,353,16.05,162,171,7.77,13,10,83,22,27,0
dabang-delhi-kc,22,598,731,23.31,283,344,15.64,159,169,7.68,6,12,94,18,35,0
