name,profile,team,total_raids,success_raids_point_percent,total_tackles,success_tackle_point_percent,matches_played,total_points,success_raids,raid_points,success_tackles,tackle_points,avg_raid_points,avg_tackle_points,dod_raid_points,super_raids,super_tackles,super_10s,high_5s
Pawan Kumar Sehrawat,Raider,bengaluru-bulls,343,70.55,29,48.27,19,256,187,242,13,14,12.74,0.74,14,6,1,13,0
Pardeep Narwal,Raider,patna-pirates,383,63.44,2,0,19,243,190,243,0,0,12.79,0,38,12,0,13,0
Naveen Kumar,Raider,dabang-delhi-kc,386,62.43,6,33.33,19,243,201,241,2,2,12.68,0.11,30,2,0,18,0
Maninder Singh,Raider,bengal-warriors,306,62.74,7,0,19,192,161,192,0,0,10.11,0,24,6,0,9,0
Siddharth Sirish Desai,Raider,telugu-titans,272,63.97,6,50,18,177,143,174,3,3,9.67,0.17,22,6,0,7,0
Deepak Niwas Hooda,All Rounder,jaipur-pink-panthers,304,48.02,27,44.44,20,158,113,146,10,12,7.3,0.6,25,2,2,7,0
Vikash Kandola,Raider,haryana-steelers,320,47.81,15,26.66,16,157,119,153,4,4,9.56,0.25,38,6,0,9,0
Manjeet,Raider,puneri-paltan,241,43.15,57,47.36,20,131,86,104,26,27,5.2,1.35,17,2,1,2,0
Rohit Gulia,All Rounder,gujarat-fortunegiants,284,41.54,23,39.13,20,127,95,118,8,9,5.9,0.45,11,1,1,4,0
Rahul Chaudhari,Raider,tamil-thalaivas,274,42.7,28,28.57,19,125,96,117,8,8,6.16,0.42,24,0,0,4,0
Shrikant Jadhav,Raider,up-yoddha,241,47.3,8,37.5,18,117,83,114,3,3,6.33,0.17,26,2,0,3,0
Pankaj Mohite,Raider,puneri-paltan,207,53.14,15,20,16,113,84,110,3,3,6.88,0.19,24,4,0,3,0
Abhishek Singh,Raider,u-mumba,234,46.15,12,8.33,16,109,93,108,1,1,6.75,0.06,32,2,0,6,0
Chandran Ranjit,Raider,dabang-delhi-kc,228,43.85,16,25,18,104,76,100,3,4,5.56,0.22,9,3,1,2,0
K. Prapanjan,Raider,bengal-warriors,197,50.25,14,14.28,18,101,71,99,2,2,5.82,0.11,10,4,0,3,0
Vinay,Raider,haryana-steelers,187,49.19,16,25,19,96,66,92,4,4,4.84,0.21,14,6,0,2,0
Mohammad Esmaeil Nabibakhsh,All Rounder,bengal-warriors,185,37.83,52,48.07,19,95,55,70,23,25,3.68,1.32,7,3,2,1,1
Rohit Kumar,Raider,bengaluru-bulls,230,38.26,17,23.52,17,92,69,88,4,4,5.18,0.24,11,2,0,3,0
V. Ajith Kumar,Raider,tamil-thalaivas,161,56.52,9,0,16,91,76,91,0,0,6.07,0,9,1,0,3,0
Sachin Tanwar,Raider,gujarat-fortunegiants,207,40.57,8,12.5,16,85,65,84,1,1,5.25,0.06,23,1,0,2,0
Arjun Deshwal,Raider,u-mumba,148,51.35,5,40,16,78,57,76,2,2,4.75,0,11,2,0,2,0
Sandeep Kumar Dhull,"Defender, left corner",jaipur-pink-panthers,3,33.33,133,50.37,20,68,0,1,60,67,0,3.35,0,0,7,0,5
More GB,Raider,gujarat-fortunegiants,140,30.71,34,61.76,17,64,35,43,20,21,2.53,1.24,14,0,1,0,0
Sumit,"Defender, left corner",up-yoddha,7,28.57,111,54.95,18,63,1,2,60,61,0.5,3.39,0,0,1,0,5
Surender Gill,Raider,up-yoddha,152,35.52,14,57.14,15,62,41,54,7,8,3.6,0.53,24,1,1,0,0
Vishal Bhardwaj,Defender,telugu-titans,14,0,105,58.09,18,61,0,0,52,61,0,3.39,0,0,9,0,5
Nitin Tomar,Raider,puneri-paltan,125,43.2,25,24,13,60,49,54,5,6,4.5,0.46,0,0,1,1,0
Fazel Atrachali,"Defender, left corner",u-mumba,13,15.38,97,58.76,18,59,1,2,54,57,0.22,3.17,0,0,3,0,2
Prashanth Kumar Rai,Raider,haryana-steelers,99,58.58,5,0,13,58,45,58,0,0,4.46,0,8,0,0,1,0
Sandeep Narwal,All Rounder,u-mumba,53,30.18,72,58.33,18,58,12,16,37,42,1,2.33,2,0,5,0,1
Ajay Thakur,Raider,tamil-thalaivas,171,33.91,5,0,13,58,47,58,0,0,4.46,0,8,2,0,1,0
Naveen,Raider,haryana-steelers,114,49.12,8,25,14,58,43,56,2,2,4,0.14,10,1,0,1,0
Sonu Jaglan,Raider,gujarat-fortunegiants,110,47.27,4,100,15,56,42,52,3,4,3.47,0,9,3,1,1,0
Baldev Singh,"Defender, right corner",bengal-warriors,5,0,100,56,19,56,0,0,51,56,0,2.95,0,0,5,0,6
Deepak Narwal,Raider,jaipur-pink-panthers,147,37.41,7,14.28,17,56,44,55,1,1,3.24,0.06,12,0,0,1,0
Ravinder Pahal,"Defender, right corner",dabang-delhi-kc,1,0,123,44.71,19,55,0,0,55,55,0,2.89,0,0,0,0,3
Nilesh Salunke,Raider,jaipur-pink-panthers,128,41.4,7,28.57,17,55,40,53,2,2,3.12,0.12,9,1,0,1,0
